Description:
Start date: 2022-06-03 00:00:00
End date: 2022-09-06 00:00:00
Sampling interval: 30T
Animal: Animal 15
Tag: 201610060186
Sex: Male
Cage: 3

Data:
date, duration, values, day
2022-07-03 01:00:00,0.0,0,2022-07-03
2022-07-03 01:30:00,0.0,0,2022-07-03
2022-07-03 02:00:00,0.0,0,2022-07-03
2022-07-03 02:30:00,0.0,0,2022-07-03
2022-07-03 03:00:00,0.0,0,2022-07-03
2022-07-03 03:30:00,0.0,0,2022-07-03
2022-07-03 04:00:00,0.0,0,2022-07-03
2022-07-03 04:30:00,50.571,3,2022-07-03
2022-07-03 05:00:00,0.0,0,2022-07-03
2022-07-03 05:30:00,0.0,0,2022-07-03
2022-07-03 06:00:00,0.0,0,2022-07-03
2022-07-03 06:30:00,19.346,1,2022-07-03
2022-07-03 07:00:00,26.142,2,2022-07-03
2022-07-03 07:30:00,42.517,4,2022-07-03
2022-07-03 08:00:00,22.202,1,2022-07-03
2022-07-03 08:30:00,39.009,1,2022-07-03
2022-07-03 09:00:00,0.0,0,2022-07-03
2022-07-03 09:30:00,49.06,3,2022-07-03
2022-07-03 10:00:00,34.453,1,2022-07-03
2022-07-03 10:30:00,25.732,1,2022-07-03
2022-07-03 11:00:00,5.54,1,2022-07-03
2022-07-03 11:30:00,29.287,1,2022-07-03
2022-07-03 12:00:00,0.0,0,2022-07-03
2022-07-03 12:30:00,0.0,0,2022-07-03
2022-07-03 13:00:00,1.067,1,2022-07-03
2022-07-03 13:30:00,0.0,0,2022-07-03
2022-07-03 14:00:00,283.293,2,2022-07-03
2022-07-03 14:30:00,56.718,2,2022-07-03
2022-07-03 15:00:00,24.269,1,2022-07-03
2022-07-03 15:30:00,26.016,1,2022-07-03
2022-07-03 16:00:00,56.918,3,2022-07-03
2022-07-03 16:30:00,0.0,0,2022-07-03
2022-07-03 17:00:00,15.271,1,2022-07-03
2022-07-03 17:30:00,0.0,0,2022-07-03
2022-07-03 18:00:00,34.232,2,2022-07-03
2022-07-03 18:30:00,40.941,1,2022-07-03
2022-07-03 19:00:00,0.0,0,2022-07-03
2022-07-03 19:30:00,0.0,0,2022-07-03
2022-07-03 20:00:00,0.0,0,2022-07-03
2022-07-03 20:30:00,0.0,0,2022-07-03
2022-07-03 21:00:00,0.0,0,2022-07-03
2022-07-03 21:30:00,0.0,0,2022-07-03
2022-07-03 22:00:00,0.0,0,2022-07-03
2022-07-03 22:30:00,0.0,0,2022-07-03
2022-07-03 23:00:00,0.0,0,2022-07-03
2022-07-03 23:30:00,0.0,0,2022-07-03
2022-07-04 00:00:00,0.0,0,2022-07-04
2022-07-04 00:30:00,0.0,0,2022-07-04
2022-07-04 01:00:00,0.0,0,2022-07-04
2022-07-04 01:30:00,0.0,0,2022-07-04
2022-07-04 02:00:00,0.0,0,2022-07-04
2022-07-04 02:30:00,0.0,0,2022-07-04
2022-07-04 03:00:00,6.339,2,2022-07-04
2022-07-04 03:30:00,55.829,6,2022-07-04
2022-07-04 04:00:00,22.762,1,2022-07-04
2022-07-04 04:30:00,0.0,0,2022-07-04
2022-07-04 05:00:00,0.0,0,2022-07-04
2022-07-04 05:30:00,0.0,0,2022-07-04
2022-07-04 06:00:00,5.8870000000000005,2,2022-07-04
2022-07-04 06:30:00,34.777,3,2022-07-04
2022-07-04 07:00:00,31.932,2,2022-07-04
2022-07-04 07:30:00,25.024,1,2022-07-04
2022-07-04 08:00:00,0.0,0,2022-07-04
2022-07-04 08:30:00,16.942,1,2022-07-04
2022-07-04 09:00:00,26.152,1,2022-07-04
2022-07-04 09:30:00,34.737,1,2022-07-04
2022-07-04 10:00:00,0.0,0,2022-07-04
2022-07-04 10:30:00,92.432,10,2022-07-04
2022-07-04 11:00:00,122.481,9,2022-07-04
2022-07-04 11:30:00,112.192,5,2022-07-04
2022-07-04 12:00:00,172.879,5,2022-07-04
2022-07-04 12:30:00,159.367,9,2022-07-04
2022-07-04 13:00:00,142.277,10,2022-07-04
2022-07-04 13:30:00,113.112,8,2022-07-04
2022-07-04 14:00:00,36.178,2,2022-07-04
2022-07-04 14:30:00,33.546,1,2022-07-04
2022-07-04 15:00:00,49.468,2,2022-07-04
2022-07-04 15:30:00,18.52,1,2022-07-04
2022-07-04 16:00:00,0.0,0,2022-07-04
2022-07-04 16:30:00,0.0,0,2022-07-04
2022-07-04 17:00:00,24.553,2,2022-07-04
2022-07-04 17:30:00,37.482,3,2022-07-04
2022-07-04 18:00:00,61.776,3,2022-07-04
2022-07-04 18:30:00,500.745,4,2022-07-04
2022-07-04 19:00:00,679.533,2,2022-07-04
2022-07-04 19:30:00,254.001,1,2022-07-04
2022-07-04 20:00:00,0.0,0,2022-07-04
2022-07-04 20:30:00,0.0,0,2022-07-04
2022-07-04 21:00:00,0.0,0,2022-07-04
2022-07-04 21:30:00,0.0,0,2022-07-04
2022-07-04 22:00:00,64.131,1,2022-07-04
2022-07-04 22:30:00,25.694,2,2022-07-04
2022-07-04 23:00:00,108.555,4,2022-07-04
2022-07-04 23:30:00,77.228,8,2022-07-04
2022-07-05 00:00:00,0.0,0,2022-07-05
2022-07-05 00:30:00,0.0,0,2022-07-05
2022-07-05 01:00:00,0.0,0,2022-07-05
2022-07-05 01:30:00,0.0,0,2022-07-05
2022-07-05 02:00:00,0.0,0,2022-07-05
2022-07-05 02:30:00,20.857,1,2022-07-05
2022-07-05 03:00:00,0.0,0,2022-07-05
2022-07-05 03:30:00,0.0,0,2022-07-05
2022-07-05 04:00:00,20.333,1,2022-07-05
2022-07-05 04:30:00,0.0,0,2022-07-05
2022-07-05 05:00:00,0.0,0,2022-07-05
2022-07-05 05:30:00,0.0,0,2022-07-05
2022-07-05 06:00:00,0.0,0,2022-07-05
2022-07-05 06:30:00,25.278,1,2022-07-05
2022-07-05 07:00:00,0.0,0,2022-07-05
2022-07-05 07:30:00,80.344,4,2022-07-05
2022-07-05 08:00:00,412.519,4,2022-07-05
2022-07-05 08:30:00,0.0,0,2022-07-05
2022-07-05 09:00:00,0.0,0,2022-07-05
2022-07-05 09:30:00,17.223,1,2022-07-05
2022-07-05 10:00:00,61.451,2,2022-07-05
2022-07-05 10:30:00,36.717,4,2022-07-05
2022-07-05 11:00:00,102.047,2,2022-07-05
2022-07-05 11:30:00,85.587,3,2022-07-05
2022-07-05 12:00:00,648.283,3,2022-07-05
2022-07-05 12:30:00,639.365,1,2022-07-05
2022-07-05 13:00:00,0.0,0,2022-07-05
2022-07-05 13:30:00,206.671,1,2022-07-05
2022-07-05 14:00:00,100.977,2,2022-07-05
2022-07-05 14:30:00,454.394,2,2022-07-05
2022-07-05 15:00:00,132.573,5,2022-07-05
2022-07-05 15:30:00,27.4,3,2022-07-05
2022-07-05 16:00:00,18.557,1,2022-07-05
2022-07-05 16:30:00,0.0,0,2022-07-05
2022-07-05 17:00:00,28.529,1,2022-07-05
2022-07-05 17:30:00,569.782,2,2022-07-05
2022-07-05 18:00:00,106.735,5,2022-07-05
2022-07-05 18:30:00,121.662,3,2022-07-05
2022-07-05 19:00:00,526.211,1,2022-07-05
2022-07-05 19:30:00,0.0,0,2022-07-05
2022-07-05 20:00:00,0.0,0,2022-07-05
2022-07-05 20:30:00,0.0,0,2022-07-05
2022-07-05 21:00:00,112.148,2,2022-07-05
2022-07-05 21:30:00,0.0,0,2022-07-05
2022-07-05 22:00:00,0.0,0,2022-07-05
2022-07-05 22:30:00,0.0,0,2022-07-05
2022-07-05 23:00:00,0.0,0,2022-07-05
2022-07-05 23:30:00,0.0,0,2022-07-05
2022-07-06 00:00:00,0.0,0,2022-07-06
2022-07-06 00:30:00,0.0,0,2022-07-06
2022-07-06 01:00:00,93.735,2,2022-07-06
2022-07-06 01:30:00,1.153,1,2022-07-06
2022-07-06 02:00:00,0.0,0,2022-07-06
2022-07-06 02:30:00,0.0,0,2022-07-06
2022-07-06 03:00:00,0.0,0,2022-07-06
2022-07-06 03:30:00,0.0,0,2022-07-06
2022-07-06 04:00:00,0.0,0,2022-07-06
2022-07-06 04:30:00,23.864,1,2022-07-06
2022-07-06 05:00:00,31.097,1,2022-07-06
2022-07-06 05:30:00,31.626,1,2022-07-06
2022-07-06 06:00:00,0.0,0,2022-07-06
2022-07-06 06:30:00,0.0,0,2022-07-06
2022-07-06 07:00:00,0.0,0,2022-07-06
2022-07-06 07:30:00,51.02,2,2022-07-06
2022-07-06 08:00:00,63.114,2,2022-07-06
2022-07-06 08:30:00,0.0,0,2022-07-06
2022-07-06 09:00:00,0.0,0,2022-07-06
2022-07-06 09:30:00,19.383,1,2022-07-06
2022-07-06 10:00:00,83.302,2,2022-07-06
2022-07-06 10:30:00,59.665,1,2022-07-06
2022-07-06 11:00:00,195.006,1,2022-07-06
2022-07-06 11:30:00,27.572,2,2022-07-06
2022-07-06 12:00:00,55.449,1,2022-07-06
2022-07-06 12:30:00,55.56,3,2022-07-06
2022-07-06 13:00:00,31.012,2,2022-07-06
2022-07-06 13:30:00,455.297,5,2022-07-06
2022-07-06 14:00:00,175.268,0,2022-07-06
2022-07-06 14:30:00,0.0,0,2022-07-06
2022-07-06 15:00:00,44.835,2,2022-07-06
2022-07-06 15:30:00,778.243,2,2022-07-06
2022-07-06 16:00:00,267.347,2,2022-07-06
2022-07-06 16:30:00,134.262,5,2022-07-06
2022-07-06 17:00:00,72.992,6,2022-07-06
2022-07-06 17:30:00,192.622,4,2022-07-06
2022-07-06 18:00:00,155.657,8,2022-07-06
2022-07-06 18:30:00,19.614,3,2022-07-06
2022-07-06 19:00:00,0.0,0,2022-07-06
2022-07-06 19:30:00,0.0,0,2022-07-06
2022-07-06 20:00:00,177.031,3,2022-07-06
2022-07-06 20:30:00,0.0,0,2022-07-06
2022-07-06 21:00:00,92.093,1,2022-07-06
2022-07-06 21:30:00,134.581,0,2022-07-06
2022-07-06 22:00:00,0.0,0,2022-07-06
2022-07-06 22:30:00,0.0,0,2022-07-06
2022-07-06 23:00:00,0.0,0,2022-07-06
2022-07-06 23:30:00,5.541,1,2022-07-06
2022-07-07 00:00:00,0.0,0,2022-07-07
2022-07-07 00:30:00,0.0,0,2022-07-07
2022-07-07 01:00:00,0.0,0,2022-07-07
2022-07-07 01:30:00,42.605,1,2022-07-07
2022-07-07 02:00:00,52.602,2,2022-07-07
2022-07-07 02:30:00,0.0,0,2022-07-07
2022-07-07 03:00:00,0.0,0,2022-07-07
2022-07-07 03:30:00,0.0,0,2022-07-07
2022-07-07 04:00:00,0.0,0,2022-07-07
2022-07-07 04:30:00,0.0,0,2022-07-07
2022-07-07 05:00:00,30.08,1,2022-07-07
2022-07-07 05:30:00,0.0,0,2022-07-07
2022-07-07 06:00:00,0.0,0,2022-07-07
2022-07-07 06:30:00,0.0,0,2022-07-07
2022-07-07 07:00:00,29.161,1,2022-07-07
2022-07-07 07:30:00,92.16,4,2022-07-07
2022-07-07 08:00:00,39.941,2,2022-07-07
2022-07-07 08:30:00,0.0,0,2022-07-07
2022-07-07 09:00:00,0.0,0,2022-07-07
2022-07-07 09:30:00,0.0,0,2022-07-07
2022-07-07 10:00:00,0.0,0,2022-07-07
2022-07-07 10:30:00,33.809,1,2022-07-07
2022-07-07 11:00:00,18.669,1,2022-07-07
2022-07-07 11:30:00,71.737,4,2022-07-07
2022-07-07 12:00:00,84.627,3,2022-07-07
2022-07-07 12:30:00,52.893,2,2022-07-07
